#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,,,,,,,,,默认204,,,,……,……,...,……,...,,,
,,林翩翩,,,,,,,,默认205,,林翩翩/13_林翩翩_050,,[嗯，想知道，告诉我嘛。],[嗯，想知道，告訴我嘛。],"""Hmm, I do want to know. Tell me.""",「うん、知りたい。教えてくれる？」,"""Угу, интересно. Расскажи.""",,,
,BgEvent,方侧卧1,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认206,,,,她执意想知道。,她執意想知道。,She insisted on knowing.,それでも彼女は知りたがった。,Настояла она.,,,
,,方知宥,,,,,,,,默认207,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认208,,,,听她语气轻快，此时的氛围应当也没这么沉重了。,聽她語氣輕快，此時的氛圍應當也沒這麼沉重了。,"Her tone was light, so the atmosphere wasn’t so heavy anymore.",彼女の口調は軽快で、雰囲気も先ほどよりは重々しくない。,"По её лёгкому тону было понятно, что атмосфера к этому моменту уже не была такой напряжённой.",,,
,,,,,,,,,,默认209,,,,……呼,……呼,...Huff,……ふぅ,Уф...,,,
,,,,,,,,,,默认210,,,,那便说吧。,那便說吧。,"Fine, I’ll tell you.",ならば話してしまおう。,"Ладно, расскажу ей.",,,
,,方知宥,,,,,,,,默认211,,方知宥/13_方知宥_28,,[好吧……其实我也没做什么营生，平常在试着写书。],[好吧……其實我也沒做什麼營生，平常在試著寫書。],"""Alright... Truth is, I don’t really have a proper job. I’ve been trying to write a book.""",「わかった……実は、何の仕事もしていない。普段は本を書こうと色々試しているところだ」,"""Хорошо... По правде говоря, нигде я не работаю. Я пытаюсь книгу написать.""",,,
,,,,,,,,,,默认212,,,,我放低了姿态，用较为随意的语气提及自己正在做的事。,我放低了姿態，用較為隨意的語氣提及自己正在做的事。,I lowered my guard and mentioned casually what I’d been up to.,私は態度を柔らげ、気楽に聞こえるよう自分のやっていることを伝えた。,Я расслабился и рассказал чем я занимаюсь.,,,
,,林翩翩,,,,,,,,默认213,,林翩翩/13_林翩翩_051,,[写什么书？］,[寫什麼書？］,"""What kind of books are you writing?""",「どんな本？」,"""Какую?""",,,
,,方知宥,,,,,,,,默认214,,方知宥/13_方知宥_29,,[小说，类乎《三国演义》、《水浒传》、《金瓶梅》、《西游记》那般。],[小說，類乎《三國演義》、《水滸傳》、《金瓶梅》、《西遊記》那般。],"""Novels, like ""Romance of the Three Kingdoms"", ""Water Margin"", ""The Plum in the Golden Vase"", or ""Journey to the West"".""",「小説だ。『三国志演義』や『水滸伝』、『金瓶梅』や『西遊記』のような」,"""Роман. Наподобие 'Троецарствия', 'Речных заводей', 'Цветов слив в золотой вазе' и 'Путешествия на Запад'.""",,,
,,林翩翩,,,,,,,,默认215,,林翩翩/13_林翩翩_052,,[没听过你说的这些书。],[沒聽過你說的這些書。],"""I’ve never heard of those books.""",「そんな本……聞いたことないわ」,"""Не слышала о таких.""",,,
,,方知宥,,,,,,,,默认216,,方知宥/13_方知宥_30,,[当真没听过？哪怕没有买书来看……一般茶馆也有说戏的人会讲三国水浒中的故事吧？],[當真沒聽過？哪怕沒有買書來看……一般茶館也有說戲的人會講三國水滸中的故事吧？],"""Really? Not even if you haven’t bought them... Don’t teahouses usually have storytellers performing tales from ""Three Kingdoms"" or ""Water Margin""?""",「本当に？いくら本を読んだことはなくても……ふつうの茶館で三国志や水滸伝を語っているのは聞いたことがあるだろう？」,"""Правда не слышала? Даже если ты не покупала сами книги... в чайных же бывают рассказчики, которые пересказывают истории из 'Троецарствия' или 'Речных заводей'?""",,,
,,林翩翩,,,,,,,,默认217,,林翩翩/13_林翩翩_053,,[我没去茶馆听过戏。],[我沒去茶館聽過戲。],"""I’ve never gone to a teahouse to listen to stories.""",「そういうのを聞いたこともない」,"""Я и истории в чайных никогда не слышала.""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认218,,,,她尴尬地笑了笑，话题也因此而停止。,她尷尬地笑了笑，話題也因此而停止。,"She smiled awkwardly, and the conversation died there.",気まずそうに笑う彼女。話がそこで終わってしまった。,"Она неловко улыбнулась, и на этом наш разговор застопорился.",,,
,,方知宥,,,,,,,,默认219,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认220,,,,也是，她每日忙忙碌碌，积攒银两，哪能有时间去茶馆听书。,也是，她每日忙忙碌碌，積攢銀兩，哪能有時間去茶館聽書。,Of course—she’s too busy saving taels every day to spare time for teahouse tales.,それもそうだ。彼女は毎日働いて金を貯めているのだ。茶館で講談を聞いている余裕などどこにある。,"Конечно... она каждый день по уши в делах, ей не до историй в чайных.",,,
,,,,,,,,,,默认221,,,,我不该这么说得……,我不該這麼說得……,I shouldn’t have said that...,あんな言い方をすべきではなかったな……,Мне не стоило этого говорить...,,,
,BgEvent,林翩翩侧卧2,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认222,,林翩翩/13_林翩翩_054,,[知宥，你今年多大了？],[知宥，你今年多大了？],"""Zhiyou, how old are you?""",「ねえねえ、知宥って今いくつ？」,"""Чжию, а сколько тебе лет?""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认223,,,,当我再次缄默不语时，林翩翩再次挑起了新的话题。,當我再次緘默不語時，林翩翩再次挑起了新的話題。,"When I fell silent again, Lin Pianpian steered the conversation elsewhere.",私が黙り込んでしまうと、翩翩が再び話題を変えようとしてくれた。,"Видя, что я замолчал, Линь Пяньпянь решила сменить тему.",,,
,,方知宥,,,,,,,,默认224,,方知宥/13_方知宥_31,,[十七，快十八了。],[十七，快十八了。],"""Seventeen, nearly eighteen.""",「十七、もうすぐ十八になる」,"""Семнадцать. Почти восемнадцать.""",,,
,,林翩翩,,,,,,,,默认225,,林翩翩/13_林翩翩_055,,[呀，这般巧！我们年岁相仿哩，我上月刚满十八！我比你大……来！叫声姐姐听听。],[呀，這般巧！我們年歲相仿哩，我上月剛滿十八！我比你大……來！叫聲姐姐聽聽。],"""Oh, how funny! We’re practically the same age—I just turned eighteen last month! That makes me older than you... Go on! Say ""big sister"" for me.""",「あら、奇遇ね！あたしと近いじゃん。先月十八になったばっかよ！あたしの方が歳上ね……ほら、『お姉ちゃん』って言ってみて」,"""Ой, какое совпадение! Мы с тобой одногодки, получается! Мне восемнадцать в прошлом месяце исполнилось! Я старше тебя... так что называй меня теперь 'старшой сестрёнкой'!""",,,
,,方知宥,,,,,,,,默认226,,方知宥/13_方知宥_32,,[不叫。],[不叫。],"""Don't want.""",「いやだ」,"""Не хочу.""",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认227,,林翩翩/13_林翩翩_056,,[小气。],[小氣。],"""Cheapskate.""",「けち」,"""Вот вредина.""",,,
,,,,,,,,,,默认228,,,,我拒绝了她叫姐姐的要求。,我拒絕了她叫姐姐的要求。,"I shot down her demand to call her ""big sister"".",お姉ちゃん呼びの頼みは断った。,"Я отверг её попытку заставить меня называть её ""старшей сестрёнкой"".",,,
,,林翩翩,,,,,,,,默认229,,,,[……],[……],"""...""",「……」,"""...""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,左屋忆夜,,,,,2,,,,,,,,,,,
,,方知宥,,,,,,,,默认230,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认231,,,,我们两人间又陷入了一阵沉默。,我們兩人間又陷入了一陣沉默。,Silence crept back between us.,二人の間に沈黙が走る。,Между нами снова повисла тишина.,,,
,,方知宥,,,,,,,,默认232,,,,[……],[……],"""...""",「……」,"""...""",,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认233,,,,话说，从刚才开始，谈话的节奏似乎都由她掌控了。,話說，從剛才開始，談話的節奏似乎都由她掌控了。,"Now that I think about it, she’s been controlling the flow of talk this whole time.",そういえば先ほどから、会話の歩調を彼女に合わせている気がする。,"Если вдуматься, всё это время нить разговора как будто была в её руках.",,,
,,,,,,,,,,默认234,,,,我不太适应和女子共处一室，特别是她和我才刚刚认识……,我不太適應和女子共處一室，特別是她和我才剛剛認識……,"I’m uneasy sharing a room with a woman, especially one I barely know...",女と密室でいるのはどうも落ち着かない。特に彼女とは、まだ知り合ったばかりだ……,"Мне было непривычно находиться в одной комнате с женщиной, особенно с той, которую я едва знал.",,,
,,,,,,,,,,默认235,,,,因此，我的每一个举动都显得局促而紧张。,因此，我的每一個舉動都顯得侷促而緊張。,"Thus, every move I made felt stiff and nervous.",そのせいで、私のあらゆる挙動がぎこちなく、緊張したものになってしまう。,Поэтому каждое моё действие было неловким и зажатым.,,,
,,,,,,,,,,默认236,,,,再而，在她讲了柳巷女子的那些经历后，我被这些全新的见闻搞得心情沉重，让我每次开口都要斟酌几分……逐渐使她掌握了话语的主动权。,再而，在她講了柳巷女子的那些經歷後，我被這些全新的見聞搞得心情沉重、讓我每次開口都要斟酌幾分……逐漸使她掌握了話語的主動權。,"What’s more, after her tales of the Willow Lane women, these grim revelations weighed on me—now every word I spoke was measured... Bit by bit, she took command of the dialogue.",さらに、柳巷の女たちの話を聞いて、まったく知らない世界に心が重くなってしまい、口を開くたび言葉を選ぶようになった……そうして徐々に会話の主導権を握られてしまったのだ。,"К тому же, от всех этих историй о девушках с ""Ивового переулка"" у меня было тяжело на сердце, так что я каждый раз пытался тщательно подбирать слова... И таким образом Линь Пяньпянь понемногу брала разговор в свои руки.",,,
,,,,,,,,,,默认237,,,,呼……,呼……,Whew...,ふむ……,Хм...,,,
,,,,,,,,,,默认238,,,,也许，身为这方院的主人，我需扳回一城。,也許，身為這方院的主人，，我需扳回一城。,"Perhaps, as Fang’s Courtyard’s master, I ought to regain some ground.",方院の主として、一矢報いるべきかもしれない。,"Я, как владелец двора семьи Фан, обязан восстановить авторитет.",,,
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,BgEvent,方侧卧1,,,,,1,,,,,,,,,,,
,,方知宥,,,,,,,,默认239,,方知宥/13_方知宥_33,,[呵，方才，你说我是一个奇怪的人，与初见时的印象截然不同……依我看，你不是也一样？],[呵，方才，你說我是一個奇怪的人，與初見時的印象截然不同……依我看，你不是也一樣？],"""Tch—earlier, you called me odd, a far cry from your first impression... Seems to me, you’re no different.""",「ふっ。先ほど私のことを、初対面と印象がまったく違う変な人と言ったが……私からすれば、君だって同じじゃないか？」,"""Кхм, ты тут говорила, что я 'странный', и что твоё первое впечатление обо мне было совсем иным... но разве ты сама не такая?""",,,
,,,,,,,,,,默认240,,,,我挑起了新的话题。,我挑起了新的話題。,I pivoted to a fresh subject.,こんどは私の方が話題を持ち出した。,Сменил я тему.,,,
,,林翩翩,,,,,,,,默认241,,,,[……],[……],"""...""",「……」,"""...""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认242,,,,她静静地听。,她靜靜地聽。,She listened quietly.,耳を傾ける彼女。,Она молча слушала меня.,,,
,,方知宥,,,,,,,,默认243,,方知宥/13_方知宥_34,,[初遇时你哭得那般伤心，眼睛都哭肿了……如今却不见半点伤心的样子，这难道不也很奇怪吗？],[初遇時你哭得那般傷心，眼睛都哭腫了……如今卻不見半點傷心的樣子，這難道不也很奇怪嗎？],"""At our first meeting, you cried so hard your eyes swelled shut... But now there isn’t a trace of sadness—isn’t that strange too?""",「初対面の時の君は、あんなに悲しそうにして目を泣き腫らしていたのに……今じゃほとんどそんな様子もない。そっちだって変じゃないか？」,"""Когда мы впервые встретились, ты так горько плакала, все глаза себе проревела... А сейчас совсем грустной не кажешься. Разве это не странно?""",,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,天空夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认244,,,,我翻了个身，抬头看着头顶的天花板，对她反问道。,我翻了個身，抬頭看著頭頂的天花板，對她反問道。,"I rolled over, stared at the ceiling, and fired back.",私はごろんと寝返りを打ち、天井を見上げながら、逆に彼女に問い返した。,"Поддел я её, повернувшись на спину и смотря в потолок.",,,
,,林翩翩,,,,,,,,默认245,,林翩翩/13_林翩翩_057,,[是啊，那时确是伤心极了。此刻虽想起娘亲仍会心痛，却已流不出泪了。],[是啊，那時確是傷心極了。此刻雖想起娘親仍會心痛，卻已流不出淚了。],"""Yes, I was utterly heartbroken then. Even now, thoughts of Mother ache—but the tears won’t come.""",「そうね。あの時は本当に悲しかった。今でもお母さんのことを思い出すと胸が痛むけど、もう涙は出ない」,"""Да, тогда мне было очень плохо. Сейчас же, хоть у меня и болит сердце каждый раз, когда вспоминаю о маме, слёзы уже не текут.""",,,
,,,,,,,,,,默认246,,,,林翩翩似乎没有在意我言语中的调侃之意。,林翩翩似乎沒有在意我言語中的調侃之意。,Lin Pianpian ignored the taunt in my voice.,翩翩は私の皮肉など気にしていない風だった。,"Линь Пяньпянь, похоже, не обратила внимание на подкол в моём вопросе.",,,
,,,,,,,,,,默认247,,,,她平静老实地回复着我的反问，躺在地铺上缓缓说道。,她平靜老實地回復著我的反問，躺在地鋪上緩緩說道。,"She answered plainly, lying on the floor pallet as she spoke, slow and measured.",藁敷きの敷布団に横たわりながら、真面目に私の問いかけに答える。,"Она ответила спокойно и напрямую, лёжа на своей циновке.",,,
,,方知宥,,,,,,,,默认248,,方知宥/13_方知宥_35,,[你和你娘关系如何？],[你和你娘關係如何？],"""What was your relationship with your mother like?""",「母親との仲は……どうだったんだ？」,"""А какие у тебя были отношения с твоей мамой?""",,,
,,,,,,,,,,默认249,,,,我好奇询问。,我好奇詢問。,"I asked, curious.",好奇心から訊いてみる。,Поинтересовался я.,,,
,,林翩翩,,,,,,,,默认250,,林翩翩/13_林翩翩_058,,[定然算不得好……我俩虽同在二十四桥，却已一年未见……她在远处一家青楼做苦工，我则一直留在柳巷这边。],[定然算不得好……我倆雖同在二十四橋，卻已一年未見……她在遠處一家青樓做苦工，我則一直留在柳巷這邊。],"""Far from good... Though we both lived at Twenty-Four Bridges, a year had passed without meeting... She toils at a pleasure house in the distance, while I've stayed here in Willow Lane all this time.""",「いいとは言えないかな……どっちも二十四橋に住んでいながら、一年は会ってなかったから……お母さんは遠くの青楼でしんどい思いをしてて、あたしはずっと柳巷に留まってた」,"""Определённо не самые лучшие... Мы хоть и жили обе около Двадцать четвёртого моста, но не виделись целый год. Она делала чёрную работу в одном из дальних 'зелёных теремов', я же всё время оставалась здесь, на 'Ивовом переулке'.""",,,
,,林翩翩,,,,,,,,默认251,,林翩翩/13_林翩翩_059,,[我恨她……当年，正是她将我卖入柳巷的，那时我才十四岁，被她卖了二十两银子。］,[我恨她……當年，正是她將我賣入柳巷的，那時我才十四歲，被她賣了二十兩銀子。］,"""I hate her... Back then, she was the one who sold me into Willow Lane. I was only fourteen when she traded me for twenty silver taels.""",「お母さんのことは恨んでた……柳巷に売られた時、あたしはまだ十四歳だった。二十両で売られたの」,"""Я ненавидела её... ведь это она продала меня на 'Ивовый переулок', мне тогда было всего четырнадцать. Получила за меня двадцать таэлей.""",,,
,,方知宥,,,,,,,,默认252,,,,[……］,[……］,"""...""",「……」,"""...""",,,
,,方知宥,,,,,,,,默认253,,方知宥/13_方知宥_36,,[她能养你到十四岁……为何还能把你卖到柳巷这种地方？],[她能養你到十四歲……為何還能把你賣到柳巷這種地方？],"""She raised you till fourteen... How could she still sell you to a place like Willow Lane?""",「十四になるまで育てておいて……なぜ柳巷なんかに売ったんだ？」,"""Она же растила тебя четырнадцать лет... как у неё рука поднялась продать тебя?""",,,
,,,,,,,,,,默认254,,,,我不太理解。,我不太理解。,I don't quite understand.,私にはよくわからなかった。,Я не понимал.,,,
,,林翩翩,,,,,,,,默认255,,林翩翩/13_林翩翩_060,,[也没什么特别的理由，不过是她愈发穷困，养育两人日渐艰难——她不愿再那般辛苦，便将我卖了。],[也沒什麼特別的理由，不過是她越來越窮困，養育兩人日漸艱難——她不願再那般辛苦，便將我賣了。],"""There wasn't any special reason—just that she grew poorer, and supporting two people became harder——She didn't want to struggle anymore, so she sold me off.""",「特別な理由なんてないわ。生活が苦しくなって、二人分を養うのが日に日に難しくなっていった――それ以上苦労したくないから、あたしを売った。それだけの話」,"""Да просто продала, и всё. Дела шли всё хуже, обеспечивать нас обеих с каждым днём было всё труднее... Не желая жить впроголодь, она и продала меня.""",,,
,,林翩翩,,,,,,,,默认256,,林翩翩/13_林翩翩_061,,[而且，她大抵不觉卖我入柳巷是坏事，她自己便生于二十四桥，也长在二十四桥。],[而且，她大抵不覺賣我入柳巷是壞事，她自己便生於二十四橋，也長在二十四橋。],"""Besides, she probably didn't think selling me into Willow Lane was wrong—she was born and raised in Twenty-Four Bridges herself.""",「それにあの人は、娘を柳巷に売ることを悪いことだとも思ってないはず。自分が二十四橋で生まれて、二十四橋で育ってきたから」,"""К тому же, думаю, она не считала, что продавать меня на 'Ивовый переулок' было чем-то зазорным... Ведь она сама родилась и выросла около Двадцать четвёртого моста.""",,,
,,方知宥,,,,,,,,默认257,,方知宥/13_方知宥_37,,[你娘亲曾是柳巷中人？],[你娘親曾是柳巷中人？],"""Was your mother from Willow Lane?""",「母親も柳巷の者だったのか？」,"""Твоя мама тоже с 'Ивового переулка'?""",,,
,,,,,,,,,,默认258,,,,我微感诧异。,我微感詫異。,I felt a flicker of surprise.,少し違和感を感じた。,Это слегка удивило меня.,,,
,,林翩翩,,,,,,,,默认259,,林翩翩/13_林翩翩_062,,[非也……她年轻时风光得很，是一家青楼的头牌花魁。],[非也……她年輕時風光得很，是一家青樓的頭牌花魁。],"""Not at all... In her youth, she was radiant—the star courtesan of a pleasure house.""",「ううん……若い頃はすごかったのよ。青楼でいちばんの花魁だったんだから」,"""Вовсе нет... В юности у неё дела шли отлично - она была 'девушкой первого ранга' в одном из 'зелёных теремов'.""",,,
,,,,,,,,,,默认260,,,,林翩翩缓缓道来，此言确实出我意料。,林翩翩緩緩道來，此言確實出我意料。,"Lin Pianpian spoke slowly, and the revelation struck me like a blow.",ゆっくりと語るその言葉は、私にとって意外なものだった。,Медленно ответила Линь Пяньпянь. Для меня это было неожиданностью.,,,
,,林翩翩,,,,,,,,默认261,,,,[……],[……],"""...""",「……」,"""...""",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认262,,林翩翩/13_林翩翩_063,,[可是……你可知她为何给我取名叫“悔儿”吗？],[可是……你可知她為何給我取名叫“悔兒”嗎？],"""But then... Do you know why she named me ""Hui'er""?""",「でも……あたしがどうして『悔児』っていう名前なのかわかる？」,"""Однако... знаешь, почему она назвала меня <ruby=сожаление>Хуэй'ер</ruby>?""",,,
,,,,,,,,,,默认263,,,,短暂的沉默后，林翩翩反问我。,短暫的沉默後，林翩翩反問我。,"After a weighted pause, Lin Pianpian turned the question back on me.",少しの沈黙の後、こんどは翩翩が訊いてきた。,"Немного погодя, спросила меня она.",,,
,,方知宥,,,,,,,,默认264,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认265,,,,我未作猜测，因为我知道，她大概很快会告诉我。,我未作猜測，因為我知道，她大概很快會告訴我。,"I didn’t speculate, certain she’d reveal it soon.",推測はしなかった。どうせすぐに教えてくれるであろうことが分かっていたからだ。,"Я не стал гадать, понимая, что она всё равно мне сейчас это расскажет.",,,
,,林翩翩,,,,,,,,默认266,,林翩翩/13_林翩翩_064,,[她呀，在自己最貌美的年纪，看上了一个骗子……那人早有家室，还骗她说没有……她被那人搞大肚子后，便断送了自己的大好前程。],[她呀，在自己最貌美的年紀，看上了一個騙子……那人早有家室，還騙她說沒有……她被那人搞大肚子後，便斷送了自己的大好前程。],"""At the height of her beauty, she’d fallen for a liar... The man already had a wife—yet swore otherwise to her face... After getting knocked up by that man, she threw away her bright future.""",「お母さんはいちばん美しい時に、嘘つきに惚れちゃったの……そいつは家庭があるのに、いないって言ってあの人を騙した……それで、妊娠させられたせいで、明るい将来が閉ざされちゃった」,"""Когда она была на пике своей красоты, ей приглянулся один обманщик... Он нагло врал ей в глаза, что жены у него не было, хотя на самом деле она была... И после того, как он обрюхатил маму, та лишилась своего светлого будущего.""",,,
