#SHEET_NAME,聊斋
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_9,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_9,,,,,,,,,,,,,,,
,SetChapterName,聊斋,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥记偏,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,,2
,,,,,,,,,,默认1,,,,雨后，二十四桥静卧河水之上，两岸垂柳蘸水低垂。,雨後，二十四橋靜臥河水之上，兩岸垂柳蘸水低垂。,"After the rain, the Twenty-Four Bridges rested quietly over the river, with weeping willows on both banks dipping their branches toward the water.",雨上がりの川面には、二十四橋が静かに横たわり、両岸の柳が水面に浸るように低く垂れ下がっている。,"После дождя двадцать четыре моста тихо лежали над рекой, а ивы на обоих берегах склонялись к воде."
,,,,,,,,,,默认2,,,,柳丝将坠未坠，时而被风掠起，时而跌进河面，揉碎河中的倒影。,柳絲將墜未墜，時而被風掠起，時而跌進河面，揉碎河中的倒影。,"The willow strands seemed about to fall but never did, now swept up by the wind, now dropping onto the river’s surface, rippling the reflections within.",柳の枝は今にも落ちそうになりながら、時折風に揺られ、時には川面に落ち、水面に映る影を揺らめかせる。,"Ивовые ветви, словно готовые упасть, то поднимались под порывами ветра, то опускались на поверхность реки, размывая отражение в воде."
,,,,,,,,,,默认3,,,,在旁人眼中，此时河中的倒影大概仅有我一人。,在旁人眼中，此時河中的倒影大概僅有我一人。,"To others, the reflection in the water likely showed only me.",他人の目には、この時、川面に映る影は私一人しか見えないだろう。,"В глазах посторонних в это время в реке, наверное, был только я."
,,,,,,,,,,默认4,,,,但是，在我的眼中，始终有一抹紫白色的身影立于对面。,但是，在我的眼中，始終有一抹紫白色的身影立於對面。,"But in my eyes, there was always a purple-and-white figure standing opposite me.",しかし、私の目には、対岸に紫がかった白い人影がずっと立っている。,Но в моих глазах на противоположном берегу всегда стояла фигура в пурпурно-белом.
,,苏怜烟,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认5,,,,她的青丝如柳，随风起伏。,她的青絲如柳，隨風起伏。,Her dark hair swayed like willows in the wind.,彼女の黒髪は柳のようで、風に揺れている。,"Ее черные волосы, как ивы, колышутся на ветру."
,,,,,,,,,,默认6,,,,她的明眸如月，穿桥望来。,她的明眸如月，穿橋望來。,"Her bright eyes shone like the moon, gazing at me through the bridge.",彼女の澄んだ瞳は月のように、橋の向こうからこちらを見つめている。,"Ее ясные глаза, как луна, смотрят через мост."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认8,,,,一切本该尘埃落定。,一切本該塵埃落定。,Everything should have come to an end.,すべてはとっくに決着がついているはずだった。,Все должно было улечься.
,,,,,,,,,,默认9,,,,往后本该一人独行。,往後本該一人獨行。,"From now on, I should have walked alone.",これからは一人で歩むはずだった。,Впредь я должен был идти в одиночестве.
,,,,,,,,,,默认10,,,,可是……,可是……,Yet…,しかし……,Но…
,,,,,,,,,,默认11,,,,好不容易与她重逢。,好不容易與她重逢。,"Now that I have finally reunited with her,",せっかく彼女と再会できたのだ。,С таким трудом мы снова встретились.
,,,,,,,,,,默认12,,,,何必清醒负此深情？,何必清醒負此深情？,why let clarity betray such deep affection?,なぜ、この深い想いを捨てて、冷静にならなければならないのか？,Зачем же отказываться от этой глубокой любви?
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,Se,短风,,1.9,,,,,,,,,,,,,,
,,,,,,,,,,默认14,,,,——呼,——呼,—Whoosh,――はあ,— Вздох
,,,,,,,,,,默认15,,,,一阵微风掠过。,一陣微風掠過。,—A gust of wind swept by.,そよ風が吹き抜けた。,Пронесся легкий ветерок.
,,,,,,,,,,默认16,,,,我向前踏出几步——,我向前踏出幾步——,I took a few steps forward—,私は数歩前に踏み出した――,Я сделал несколько шагов вперед —
,FadeOut,black,,,,,1,,,,,,,,,,,
,Se,风声,,1.5,,,,,,,,,,,,,,
,,,,,,,,,,默认17,,,,——呼,——呼,—Whoosh,――ふっ,— Хм
,BgEvent,最后的拥抱1,,,,,,,,,,,,
,FadeIn,black,,,,,2,,,,,,,,,,,
,Bgm,与雁同行,,,,0.2,3,,,,,,,,,,,
,Se,踏步,,2,,,,,,,,,,
,,,,,,,,,,默认18,,,,我不顾一切的向她跑来，裹着一阵携雨的风，将她拥入我的怀中——,我不顧一切的向她跑來，裹著一陣攜雨的風，將她擁入我的懷中——,"I ran towards her at all costs, wrapped in a gust of rain carrying wind, and embraced her into my arms——",私は彼女に向かって必死に走ってきて、雨を携えた風に包まれて、彼女を私の懐に押し込んだ。
,,,,,,,,,,默认19,,,,几年前，是她不舍与我分别，蓦然回首。,幾年前，是她不捨與我分別，驀然回首，擁入了我的懷中。,"Years ago, she was the one who couldn’t bear to part, turning back suddenly to embrace me.",数年前は、彼女が私との別れを惜しみ、振り返って私を抱きしめた。,"Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.","Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.",
,,,,,,,,,,默认64,,,,算算日子，雁儿姐被大伯关在此处，已经快一年了。,算算日子，雁兒姐被大伯關在此處，已經快一年了。,"By my count, <ruby=Swan Goose>Sister Yan</ruby> had been locked here by my uncle for nearly a year.",日にちを数えてみると、雁姉が伯父にここに閉じ込められてから、一年が経っていた。,"Если посчитать, то получается, что с тех пор, как дядя запер её здесь, прошёл уже почти целый год.",,
,,,,,,,,,,默认65,,,,这一年里，我常偷偷来见她，教她识字，向她讲述外间世事。,這一年裡，我常偷偷來見她，教她識字，向她講述外間世事。,"That year, I often sneaked in to see her, teaching her to read and sharing stories of the outside world.",この一年、私はいつもこっそり彼女に会いに来て、字を教えたり外のことを教えたりした。,"За этот год я часто тайком навещал её, учил её читать и писать, рассказывал ей о том, что происходит во внешнем мире.",,
,,,,,,,,,,默认66,,,,她不再如初时那般对我戒备，也很久没再提过寻短见的事。,她不再如初時那般對我戒備，也很久沒再提過尋短見的事。,"She no longer distrusted me as she had at first, and it had been a long time since she last spoke of ending her life.",私に対して初めの頃のような警戒心はもうなく、自殺をほのめかすようなことも言わなくなった。,"Она уже давно перестала относилась ко мне с такой настороженностью, как было поначалу, и уже давно не упоминала о том, что хочет покончить с собой.",,
,,,,,,,,,,默认67,,,,但有一日，她又聊起了类似的话。,但有一日，她又聊起了類似的話。,"But one day, she brought up something similar again.",だがある日、似たような話を持ち出した。,Но однажды она всё же заговорила о чём-то подобном.,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋1,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,Bgm,死生别离,,,,0.2,2,,,,,,,,,,,
,,苏连雁,,,,,,,,默认68,,苏连雁/35-2-1_苏连雁_01,,[知宥，你说人死后会去哪呢？],[知宥，你說人死後會去哪呢？],"""Zhiyou, where do you think people go after they die?""",「知宥、人は死んだらどこに行くと思う？」,"""Чжию, а куда люди уходят после смерти?""",,
,,,,,,,,,,默认69,,,,门内传来她轻柔的声音。,門內傳來她輕柔的聲音。,Her gentle voice came from behind the door.,門の内側から彼女の声が聞こえた。,Донёсся из-за двери её нежный голос.,,
,,方知宥,,,,,,,,默认70,,方知宥/35-2-1_方知宥_10,,[嗯……爹娘曾说过，人死后会上天入地，有大功德的人会去天上做神仙，大多数人则是会入地府。],[嗯……爹娘曾說過，人死後會上天入地，有大功德的人會去天上做神仙，大多數人則是會入地府。],"""Well... my parents once said that after death, people either ascend to heaven or descend to the underworld. Those with great virtue become immortals in heaven, while most ordinary people go to the underworld.""",「ふむ……人が死ぬと天国か地獄に行くと父さんと母さんが言っていた。功徳を積んだ者は天界で神仙となるけど、ほとんどの者は地獄に落ちると」,"""Хм... Ну папа с мамой говорили, что люди после смерти идут либо на небо, либо под землю. Люди великой добродетели попадают на небеса и становятся божествами и небожителями, ну а большинство людей попадает в подземный мир.""",,
,,方知宥,,,,,,,,默认71,,方知宥/35-2-1_方知宥_11,,[地府的阎王爷会审判每个人生前做过的事，恶人会下油锅，善人则是会轮回。],[地府的閻王爺會審判每個人生前做過的事，惡人會下油鍋，善人則是會輪迴。],"""The King of Hell judges everyone's deeds in life. The wicked are boiled in oil, while the virtuous are reincarnated.""",「そして地獄の閻魔大王が、その者の生前の行いを裁き、悪人は油茹でにされ、善人は輪廻に入るらしい」,"""Правитель подземного царства Янь-ван судит каждого человека по его поступкам - злые люди отправляются в котёл с кипящим маслом, а добрые - перерождаются заново.""",,
,,苏连雁,,,,,,,,默认72,,苏连雁/35-2-1_苏连雁_02,,[怎样的人是善人？怎样的人是恶人？],[怎樣的人是善人？怎樣的人是惡人？],"""What makes someone virtuous? What makes someone wicked?""",「どんな人が善人で、どんな人が悪人なの？」,"""А какие люди считаются добрыми? А какие - злыми?""",,
,,方知宥,,,,,,,,默认73,,方知宥/35-2-1_方知宥_12,,[依我所想，令他人欢喜者为善人，令他人悲苦者为恶人……我每次来见雁儿姐都很欢喜，所以雁儿姐是善人……我来时雁儿姐也会欢喜，所以我也是善人。],[依我所想，令他人歡喜者為善人，令他人悲苦者為惡人……我每次來見雁兒姐都很歡喜，所以雁兒姐是善人……我來時雁兒姐也會歡喜，所以我也是善人。],"""I think those who bring joy to others are virtuous, and those who bring sorrow are wicked... I'm always happy when I visit <ruby=Swan Goose>Sister Yan</ruby>, so she's virtuous... She's also happy when I come, so I must be virtuous too.""",「私の持論だが、人を喜ばせる者が善人で、人を悲しませる者が悪人、だと思う……雁姉と会うたび僕は嬉しかったから、雁姉は善人だ……雁姉も僕が来た時に喜んでいたから、僕も善人ということになるね」,"""Ну вот я считаю, что те, кто приносит другим людям радость - те добрые, а те, кто приносит горе - те злые... Каждый раз, когда я вижусь с тобой, сестричка Лебёдушка, мне радостно - так что ты хороший человек... И когда я прихожу к тебе, ты тоже радуешься - значит, я тоже хороший человек.""",,
,,苏连雁,,,,,,,,默认74,,苏连雁/35-2-1_苏连雁_03,,[噗……你这说法……那天下的善人不是多了去了？],[噗……你這說法……那天下的善人不是可多了？],"""Pfft... that logic of yours... then wouldn't there be good people everywhere under heaven?""",「ぷっ……その言い方だと……世の中は善人だらけになるんじゃない？」,"""Пф-ф-ф... Если всё так, как ты говоришь... Не получится ли, что в Поднебесной уж слишком много добрых людей?""",,
,,,,,,,,,,默认75,,,,门的另一侧，她似乎是被我的说法逗笑了。,門的另一側，她似乎是被我的說法逗笑了。,"On the other side of the door, she seemed to chuckle at my reasoning.",門の向こう側で、私の言葉に笑っているようだ。,"Судя по звукам по ту сторону двери, мои слова рассмешили сестричку Лебёдушку.",,
,,苏连雁,,,,,,,,默认76,,,,[……],[……],"""...""",「……」,"""...""",,
,,苏连雁,,,,,,,,默认77,,苏连雁/35-2-1_苏连雁_04,,[既然我们都是善人……那不如我们寻个时机一同赴死，再一同去投胎吧。],[既然我們都是善人……那不如我們尋個時機一同赴死，再一同去投胎吧。],"""Since we're both good people... why don't we pick a time to die together and be reborn together?""",「どっちも善人なら……同時に死んで、もう一度生まれ変わるのはどう？」,"""Ну раз мы с тобой оба - хорошие люди... Так почему бы нам тогда при подходящей возможности не умереть вместе и потом вместе же переродиться?""",,
,,,,,,,,,,默认78,,,,隔了片刻后，她突然这么提议道。,隔了片刻後，她突然這麼提議道。,"After a pause, she suddenly suggested.",少しして、ふとそんなことを言う彼女。,Внезапно предложила она после короткой паузы.,,
,,方知宥,,,,,,,,默认79,,,,[……],[……],"""...""",「……」,"""...""",,
,,方知宥,,,,,,,,默认80,,方知宥/35-2-1_方知宥_13,,[这……这……我还不想死呢！],[這……這……我還不想死呢！],"""Th-that... I don't want to die yet!""",「そ……それは……まだ死にたくないよ！」,"""Это... это... Я ещё пока не хочу умирать!""",,
,,,,,,,,,,默认81,,,,我有些慌张地说道。,我有些慌張地說道。,I replied nervously.,慌ててそう答える。,Растерянно ответил я.,,
,,苏连雁,,,,,,,,默认82,,苏连雁/35-2-1_苏连雁_05,,[为何？],[為何？],"""Why?""",「どうして？」,"""Почему?""",,
,,方知宥,,,,,,,,默认83,,方知宥/35-2-1_方知宥_14,,[这世上有许多好吃的，好玩的……有许多能去的地方，活着便有希望。],[這世上有許多好吃的，好玩的……有許多能去的地方，活著便有希望。],"""This world has so many delicious foods, fun things... so many places to visit. Being alive means there's hope.""",「だって、この世には美味しいものも、楽しいこともいっぱいあるし……行ける所だっていっぱいあるし、生きていればいいことはいっぱいあるよ」,"""В этом мире много всего вкусного, много интересного... Столько мест, где можно побывать. Да и вообще, пока живёшь, есть надежда.""",,
,,,,,,,,,,默认84,,,,我郑重地说道。,我鄭重地說道。,I said earnestly.,真面目に、雁姉に対してそう話す私。,С важностью проговорил я.,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋5,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,苏连雁,,,,,,,,默认85,,苏连雁/35-2-1_苏连雁_06,,[可我日日被关在这里，等着为你大伯生娃子，何来希望？],[可我日日被關在這裡，等著為你大伯生娃子，何來希望？],"""But I'm locked here every day, waiting to bear your uncle's children. What hope is there in that?""",「でもあたしはずっとここに閉じ込められて、あんたの伯父さんの子を産むのを待つだけ。どこに希望があるの？」,"""Но я целыми днями заперта здесь, а потом мне придётся рожать твоему дяде детей - откуда тут надежде взяться?""",,
,,,,,,,,,,默认86,,,,雁儿姐幽幽地说着。,雁兒姐幽幽地說著。,<ruby=Swan Goose>Sister Yan</ruby> murmured melancholically.,雁姉が憂鬱そうにそう言った。,Мрачно ответила сестричка Лебёдушка.,,
,,方知宥,,,,,,,,默认87,,,,[……],[……],"""...""",「……」,"""...""",,
,,,,,,,,,,默认88,,,,我无法反驳。,我無法反駁。,I couldn't refute it.,私は何も言い返せなかった。,Мне нечем было ей возразить.,,
,,,,,,,,,,默认89,,,,我很想把她从伯父这里救出来，但是却无计可施。,我很想把她從伯父這裡救出來，但是卻無計可施。,"I desperately wanted to rescue her from my uncle's grasp, but was powerless to do so.",伯父から彼女を救いたい。だがどうにもできない。,Мне бы очень хотелось спасти её из дядиного заточения - но мне было совершенно нечего предпринять.,,
,,,,,,,,,,默认90,,,,若是我武功强如水浒传中的那些英雄好汉一般，是否就能带她远走高飞了？,若是我武功強如水滸傳中的那些英雄好漢一般，是否就能帶她遠走高飛了？,"If my martial skills were as mighty as the heroes in Water Margin, could I have taken her far away?",もしも水滸伝の英雄たちのように強ければ、彼女を連れ去って遠くに逃げられるのだろうか。,"Владей я боевыми искусствами так же, как все эти герои из ""Речных заводей"" - смог бы я тогда одним махом унести её отсюда далеко-далеко?",,
,,,,,,,,,,默认91,,,,若是真有那孙大圣，我是不是能借他的金箍棒打破方院，救雁儿姐出来？,若是真有那孫大聖，我是不是能借他的金箍棒打破方院，救雁兒姐出來？,"If the Great Sage Sun Wukong were real, could I have borrowed his golden staff to smash open Fang's Courtyard and free <ruby=Swan Goose>Sister Yan</ruby>?",もしも孫大聖がいたら、彼の如意棒を借りて方院をぶっ壊し、雁姉を救えるのだろうか。,"Если бы на свете действительно существовал Великий Мудрец Сунь Укун, смог бы я тогда воспользоваться его посохом Цзиньгубаном, чтобы сокрушить стены двора семьи Фан и вызволить сестричку Лебёдушку на свободу?",,
,,,,,,,,,,默认92,,,,……,……,...,……,...,,
,,方知宥,,,,,,,,默认93,,,,[……],[……],"""...""",「……」,"""...""",,
,,苏连雁,,,,,,,,默认94,,,,[……],[……],"""...""",「……」,"""...""",,
,,,,,,,,,,默认95,,,,我们许久都没说话，也不知对方在想着什么。,我們許久都沒說話，也不知對方在想著什麼。,"We remained silent for a long while, neither knowing the other's thoughts.",長い沈黙が流れた。相手が何を考えているのかもわからず。,"Мы долго молчали, не зная, о чём думает другой.",,
,Se,风吹树叶,,1.8,,,,,,,,,,
,,,,,,,,,,默认96,,,,——呼,——呼,--Huff--,――ヒュウ,*Вжух.*,,
,,,,,,,,,,默认97,,,,直到一阵强风吹过，吹拂起了落叶。,直到一陣強風吹過，吹拂起了落葉。,"Until a strong gust swept through, stirring the fallen leaves.",強風が吹き、落ち葉が舞い上がった。,"Тут налетел порыв сильного ветра, поднимая с земли опавшие листья.",,
,,,,,,,,,,默认98,,,,风过之后，雁儿姐在门的内侧开了口——,風過之後，雁兒姐在門的內側開了口——,"When the wind subsided, <ruby=Swan Goose>Sister Yan</ruby> spoke from behind the gate—",風が通り過ぎると、雁姉が門の内側で口を開いた――,"Когда ветер утих, из-за двери донёсся голос сестрички Лебёдушки:",,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋3,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,苏连雁,,,,,,,,默认99,,苏连雁/35-2-1_苏连雁_07,,[知宥，你不想死，可我想死……若有一天我先死了，你还活着，我能否从地府悄悄溜出来看你？],[知宥，你不想死，可我想死……若有一天我先死了，你還活著，我能否從地府悄悄溜出來看你？],"""Zhiyou, you don’t want to die, but I do... If one day I die before you, and you’re still alive, can I sneak out from the underworld to see you?""",「知宥、あんたが死にたくなくても、あたしは死にたいの……もしあたしが先に死んで、知宥がまだ生きてたら、こっそり地獄を抜け出して会いに来てもいい？」,"""Чжию, ты-то не хочешь умирать, а вот я хочу... Если я когда-нибудь умру вперёд тебя, а ты ещё будешь жив, могу ли я тайком выскользнуть из подземного царства и навестить тебя?""",,
,,,,,,,,,,默认100,,,,她对我问道。,她對我問道。,She asked me.,彼女がそう訊く。,Задала она мне вопрос.,,
,BgEvent,聊斋2,,,,,,,,,,,,
,,方知宥,,,,,,,,默认101,,方知宥/35-2-1_方知宥_15,,[可以啊，雁儿姐当然能来看我。],[可以啊，雁兒姐當然能來看我。],"""Of course, <ruby=Swan Goose>Sister Yan</ruby> can definitely come to see me.""",「もちろんだよ。雁姉ならいつだって大歓迎だよ」,"""Конечно, сестричка Лебёдушка, ещё как можешь.""",,
,,,,,,,,,,默认102,,,,我认真地答。,我認真地答。,I answered earnestly.,真剣にそう答える私。,Серьёзно ответил я.,,
,BgEvent,聊斋4,,,,,,,,,,,,
,,苏连雁,,,,,,,,默认103,,苏连雁/35-2-1_苏连雁_08,,[你不怕被我吓到？我可是鬼呀！],[你不怕被我嚇到？我可是鬼呀！],"""Aren’t you afraid of being scared by me? I’d be a ghost!""",「怖がったりしない？だって幽霊よ」,"""А ты не будешь меня бояться? Я же буду призраком!""",,
,,,,,,,,,,默认104,,,,她提高了声音，笑着对我问道。,她提高了聲音，笑著對我問道。,She raised her voice and asked me with a laugh.,彼女が声を大きくし、笑いまじりで問う。,"Повысив голос, со смехом спросила она.",,
,BgEvent,聊斋2,,,,,,,,,,,,
,,方知宥,,,,,,,,默认105,,方知宥/35-2-1_方知宥_16,,[不怕呀，雁儿姐变得鬼不可怕。],[不怕呀，雁兒姐變得鬼不可怕。],"""I’m not afraid. <ruby=Swan Goose>Sister Yan</ruby> wouldn’t be a scary ghost.""",「怖いもんか。雁姉が幽霊になったって怖くないよ」,"""Не буду. Если этим призраком будешь ты, сестричка Лебёдушка, то мне будет совсем не страшно.""",,
,BgEvent,聊斋3,,,,,,,,,,,,
,,苏连雁,,,,,,,,默认106,,苏连雁/35-2-1_苏连雁_09,,[那一言为定，若是我成了鬼，便会来找你。],[那一言為定，若是我成了鬼，便會來找你。],"""Then it’s a promise. If I become a ghost, I’ll come find you.""",「じゃあ約束。あたしが幽霊になったら会いに来るから」,"""Тогда договорились - если я стану призраком, то приду к тебе.""",,
,BgEvent,聊斋4,,,,,,,,,,,,
,,方知宥,,,,,,,,默认107,,,,[……],[……],"""...""",「……」,"""...""",,
,BgEvent,聊斋1,,,,,1,,,,,,,
,,苏连雁,,,,,,,,默认108,,苏连雁/35-2-1_苏连雁_10,,[从此，你去哪里，我就去哪里。],[從此，你去哪裡，我就去哪裡。],"""From then on, wherever you go, I’ll follow.""",「これからは、どこでも一緒ね」,"""И тогда куда пойдёшь ты, туда пойду и я.""",,
,Wait,,,,,,2
,StopVoice,,,,,,1,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋6,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认109,,,,五月十六，我助王生修完了那本《扬州十日记》。,五月十六，我助王生修完了那本《揚州十日記》。,"On the sixteenth of the fifth month, I helped Scholar Wang complete his book ""Ten Days of Yangzhou"".",五月十六日。王書生が書いた『揚州十日記』の校正が終わった。,"К шестнадцатому числу пятого месяца я закончил помогать учёному Вану в редактуре ""Записок о десяти днях в Янчжоу"".",,
,,,,,,,,,,默认110,,,,十日屠城之事，落于纸上，不过只有七八千字。,十日屠城之事，落於紙上，不過只有七八千字。,"The ten-day massacre, when recorded on paper, amounted to merely seven or eight thousand characters.",十日間の虐殺は、紙に書き記してもわずか七八千文字くらいしかない。,Запечатлённые на бумаге десять дней резни уместились всего лишь в семь-восемь тысяч иероглифов.,,
,,,,,,,,,,默认111,,,,此书以王生的视角，记录了扬州十日屠城时东虏的诸多恶行。,此書以王生的視角，記錄了揚州十日屠城時東虜的諸多惡行。,"Written from Scholar Wang's perspective, this book documents the Eastern Barbarians' numerous atrocities during the Yangzhou massacre.",この本は、揚州の十日間に渡る虐殺で東虜がはたらいた悪行の数々を、王書生の視点で書いたものだ。,"Книга от лица учёного Вана описала всевозможные зверства ""восточных лу"" за эти дни.",,
,,,,,,,,,,默认112,,,,其中细节可谓真实丰富，我想，后人读来也会觉得身临其境、触目惊心。,其中細節可謂真實豐富，我想，後人讀來也會覺得身臨其境、觸目驚心。,"Its vivid, authentic details will make later readers feel they're witnessing the events firsthand - with horrifying clarity.",その描写の細かさはあまりに生々しく、きっと後世の人々がこれを読んだら、その場にいるかのような臨場感で胸を打たれることだろう。,"Детали получились очень живыми и насыщенными - думаю, те, кто будет читать эту книгу, смогут испытать чувство, будто сами оказались в гуще событий, и будут потрясены не менее, чем их очевидцы.",,
,,,,,,,,,,默认113,,,,但是，我知道，尚有数万个如王生这般的幸存者并未写书，他们没有留下更多的记录流传后世。,但是，我知道，尚有數萬個如王生這般的倖存者並未寫書，他們沒有留下更多的紀錄流傳後世。,"Yet I know tens of thousands of survivors like Scholar Wang never wrote accounts, leaving no records for posterity.",しかし、王のような生存者が数万といながら、誰もこのような本を書いていないことを私は知っている。彼らは後世に伝えるための記録を残していないのだ。,"Однако я знаю, что десятки тысяч других людей, выживших вместе с учёным Ваном, в отличие от него, не напишут книг - потомкам от них не останется никаких записей.",,
,,,,,,,,,,默认114,,,,而那数十万在屠城中被杀的亡魂，更没有任何开口的机会。,而那數十萬在屠城中被殺的亡魂，更沒有任何開口的機會。,While the hundreds of thousands massacred were forever silenced.,虐殺によって命を落とした数十万の亡霊たちは、口を開く機会すら与えられなかった。,"Что же касается тех сотен тысяч душ, что погибли во время резни, у них тем более не будет возможности высказаться.",,
,,,,,,,,,,默认115,,,,我们所写的这本《扬州十日记》，只是这十日中万千悲剧的沧海一粟。,我們所寫的這本《揚州十日記》，只是這十日的所發生的萬千悲劇的滄海一粟。,"Our written account of ""Ten Days of Yangzhou"" represents but a drop in the ocean of tragedies that occurred during those ten days.",私たちが書いたこの『揚州十日記』は、この十日間で起きた数え切れないほどの悲劇のうちのほんの一部でしかない。,"Наши ""Записки о десяти днях в Янчжоу"" - не более, чем капля в море тех бесчисленных трагедий, что случились за эти десять дней.",,
,,,,,,,,,,默认116,,,,……,……,...,……,...,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋7,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认117,,,,之后，我将《扬州十日记》抄了一本，带在身上，然后便向王生辞行。,之後，我將《揚州十日記》抄了一本，帶在身上，然後便向王生辭行。,"Afterward, I made a handwritten copy of ""Ten Days of Yangzhou"" to carry with me, then took my leave from Scholar Wang.",その後、私は『揚州十日記』の写本を作って持ち歩くようにし、王書生に別れを告げた。,"После этого я переписал собственную копию ""Записок"", взял её с собой и попрощался с учёным Ваном.",,
,,,,,,,,,,默认118,,,,临别之时，王生于城门前出言挽留，他叹我今后一人踏上旅程，未免太过孤独。,臨別之時，王生於城門前出言挽留，他嘆我今後一人踏上旅程，未免太過孤獨。,"When we parted at the city gate, Scholar Wang urged me to stay, sighing that my solitary journey ahead would be too lonesome.",別れ際、王は城門の前で、一人の旅は孤独に苛まれるぞと私のことを引き留めようとした。,"В момент прощания у городских ворот учёный Ван попробовал уговорить меня остаться, со вздохом говоря, что в предстоящем путешествии мне наверняка будет очень одиноко.",,
,,,,,,,,,,默认119,,,,他说，若非是他有妻儿牵绊，必定与我一同远游。,他說，若非是他有妻兒牽絆，必定與我一同遠遊。,"He said were it not for his family obligations, he would have surely traveled with me.",もしも妻がいなければ私と一緒に旅に出たのにと彼が溜息をつく。,"Он сказал, что если б не жена и ребёнок, он обязательно отправился бы в этот дальний путь со мной.",,
,,,,,,,,,,默认120,,,,我笑了笑，谢过了他的好意，只对他说了有缘再见。,我笑了笑，謝過了他的好意，只對他說了有緣再見。,"I smiled and thanked him for his kindness, saying only that we might meet again if fate allowed.",私は笑って彼の気遣いに感謝すると、縁があればまた会おうと言うのだった。,"Я с улыбкой поблагодарил его за добрые слова, но лишь сказал, что, если будет на то веление судьбы, мы с ним ещё увидимся.",,
,,,,,,,,,,默认121,,,,王生啊，我并非是孤身一人。,王生啊，我並非是孤身一人。,"Ah, Scholar Wang, I am not truly traveling alone.",王よ、私は孤独じゃない。,"Если бы ты знал, учёный Ван - я ведь совсем не один.",,
,,,,,,,,,,默认122,,,,雁儿姐因那本留给我的信物而重现，今后会与我一同踏上旅程。,雁兒姐因那本留給我的信物而重現，今後會與我一同踏上旅程。,"<ruby=Swan Goose>Sister Yan</ruby> reappeared because of the keepsake left for me, and from then on, she would accompany me on the journey.",私に遺したあの本のおかげで雁姉が再び現れてくれたのだ。これからは彼女が旅路についてきてくれる。,Сестричка Лебёдушка снова появилась благодаря тому оставленному от неё подарку - и отныне она будет сопровождать меня в моём путешествии.,,
,,,,,,,,,,默认123,,,,从此之后，我们会长相厮守，永不分离。,從此之後，我們會長相廝守，永不分離。,"From then on, we would stay together forever, never to part.",これから私たちはずっと一緒だ。二度と離れない。,С этого момента мы будем всегда вместе и никогда не разлучимся.,,
,,,,,,,,,,默认124,,,,……,……,...,……,...,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋8,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认125,,,,我与雁儿姐相伴，一路北行。,我與雁兒姐相伴，一路北行。,"With <ruby=Swan Goose>Sister Yan</ruby> by my side, I journeyed northward.",私は雁姉と共に、北へ向かった。,Вместе с сестричкой Лебёдушкой мы отправились на север.,,
